Logging time,IoU/train,PixelwiseAcc/train,Loss/train,IoU/val,PixelwiseAcc/val,Loss/val,epoch_time_consume
2024-05-02 13:23:30.338143,0.6345612407,0.7548784018,0.1823041588,,,,0:01:20.561249
2024-05-02 13:24:36.086477,0.8297266960,0.9050596356,0.0414453298,,,,0:01:05.739939
2024-05-02 13:25:40.052268,0.8304882646,0.9052068591,0.0406403169,,,,0:01:03.962182
2024-05-02 13:26:43.147221,0.8285605311,0.9040345550,0.0411732905,,,,0:01:03.091387
2024-05-02 13:28:49.326243,0.8209157586,0.8993453383,0.0432590879,0.8164071441,0.8933695108,0.0495110974,0:02:06.175102
2024-05-02 13:30:00.702576,0.8209086061,0.8994219303,0.0433826633,,,,0:01:11.356457
2024-05-02 13:31:08.539185,0.8203999996,0.8988041282,0.0436472930,,,,0:01:07.832084
2024-05-02 13:32:15.281484,0.8264943361,0.9027611613,0.0417978466,,,,0:01:06.738141
2024-05-02 13:33:21.556750,0.8281374574,0.9039522409,0.0411917605,,,,0:01:06.271308
2024-05-02 13:35:13.549316,0.8302540183,0.9053148031,0.0406510197,0.8292863518,0.9033712894,0.0412373645,0:01:51.988619
2024-05-02 13:36:19.983812,0.8348945379,0.9080931544,0.0395187587,,,,0:01:06.408853
2024-05-02 13:37:27.795048,0.8383494020,0.9102315307,0.0383421071,,,,0:01:07.807594
2024-05-02 13:38:32.337237,0.8407694697,0.9117277861,0.0376414731,,,,0:01:04.538558
2024-05-02 13:39:37.605988,0.8478563428,0.9161003828,0.0358443744,,,,0:01:05.266020
2024-05-02 13:41:24.763019,0.8504108787,0.9176704288,0.0350851044,0.8399700671,0.9111929983,0.0386797180,0:01:47.152836
2024-05-02 13:42:30.941282,0.8546087742,0.9201456308,0.0341675580,,,,0:01:06.169239
2024-05-02 13:43:38.156427,0.8580232859,0.9222521782,0.0332089402,,,,0:01:07.211269
2024-05-02 13:44:45.292639,0.8610602617,0.9240538478,0.0322573371,,,,0:01:07.131972
2024-05-02 13:45:52.802819,0.8639445901,0.9256895781,0.0315787010,,,,0:01:07.506264
2024-05-02 13:47:44.188337,0.8651517630,0.9265979528,0.0311955139,0.8573327959,0.9219232947,0.0343178939,0:01:51.381848
2024-05-02 13:48:52.017260,0.8679904938,0.9283444881,0.0303893946,,,,0:01:07.815022
2024-05-02 13:49:57.679804,0.8690801859,0.9290152788,0.0301604588,,,,0:01:05.657473
2024-05-02 13:51:03.951062,0.8707301617,0.9298745394,0.0297586545,,,,0:01:06.267282
2024-05-02 13:52:08.966036,0.8714784980,0.9303655028,0.0295801740,,,,0:01:05.010273
2024-05-02 13:53:56.010274,0.8721681833,0.9307791591,0.0293180533,0.8583563119,0.9223278761,0.0338894874,0:01:47.040638
