Logging time,IoU/train,PixelwiseAcc/train,Loss/train,IoU/val,PixelwiseAcc/val,Loss/val,epoch_time_consume
2024-05-02 12:41:27.294639,0.3950231373,0.5691867471,0.2700717151,,,,0:00:58.756552
2024-05-02 12:42:08.355297,0.5006411672,0.6822857857,0.1249433905,,,,0:00:41.045266
2024-05-02 12:42:47.166140,0.5867607594,0.7447694540,0.1061480194,,,,0:00:38.806886
2024-05-02 12:43:25.373694,0.6406118274,0.7836986184,0.0941714048,,,,0:00:38.204018
2024-05-02 12:45:08.638829,0.6599212289,0.7960846424,0.0896945372,0.6128250360,0.7595004886,0.1058514658,0:01:43.261027
2024-05-02 12:45:48.995430,0.6790370941,0.8086166382,0.0844548121,,,,0:00:40.346101
2024-05-02 12:46:28.757747,0.6898615360,0.8146414757,0.0823067203,,,,0:00:39.757652
2024-05-02 12:47:07.706555,0.6995500922,0.8215651512,0.0795153901,,,,0:00:38.944854
2024-05-02 12:47:46.484920,0.7081422210,0.8268691897,0.0763151944,,,,0:00:38.774213
2024-05-02 12:49:15.652042,0.7149684429,0.8308160305,0.0743860602,0.7894416153,0.8721305877,0.0598266078,0:01:29.163091
2024-05-02 12:49:58.703877,0.7278730273,0.8393965364,0.0709995702,,,,0:00:43.037722
2024-05-02 12:50:37.691286,0.7286323905,0.8398877382,0.0701389536,,,,0:00:38.983141
2024-05-02 12:51:16.983585,0.7376143336,0.8449560404,0.0683146566,,,,0:00:39.288098
2024-05-02 12:51:56.801925,0.7491844893,0.8525694013,0.0645564646,,,,0:00:39.814196
2024-05-02 12:53:19.913918,0.7563486695,0.8569847345,0.0623490848,0.7877034098,0.8739969730,0.0568270897,0:01:23.107926
2024-05-02 12:53:59.509322,0.7604507208,0.8601427674,0.0606577620,,,,0:00:39.590722
2024-05-02 12:54:40.643312,0.7709140182,0.8672987819,0.0582614057,,,,0:00:41.130284
2024-05-02 12:55:23.715399,0.7727327347,0.8681827784,0.0569964424,,,,0:00:43.067843
2024-05-02 12:56:05.606786,0.7788937092,0.8716650009,0.0556028448,,,,0:00:41.887165
2024-05-02 12:57:30.880492,0.7832367420,0.8746909499,0.0544236042,0.7962893695,0.8828447759,0.0519863181,0:01:25.270321
2024-05-02 12:58:11.578582,0.7891563773,0.8785516024,0.0523708798,,,,0:00:40.689415
2024-05-02 12:58:51.820788,0.7912575603,0.8802062273,0.0520616323,,,,0:00:40.238900
2024-05-02 12:59:31.054589,0.7967952490,0.8835116625,0.0504199155,,,,0:00:39.230837
2024-05-02 13:00:10.249182,0.7996578813,0.8852086067,0.0494749211,,,,0:00:39.190637
2024-05-02 13:01:35.836067,0.8055078983,0.8890447617,0.0478043035,0.7994120270,0.8865416795,0.0498741847,0:01:25.584031
2024-05-02 13:02:18.124330,0.8097342253,0.8919727206,0.0465931296,,,,0:00:42.270884
2024-05-02 13:02:58.146462,0.8124666214,0.8935894370,0.0458991006,,,,0:00:40.017353
2024-05-02 13:03:37.335801,0.8159127831,0.8959300518,0.0447634533,,,,0:00:39.185438
2024-05-02 13:04:18.552404,0.8211744428,0.8991173506,0.0432845838,,,,0:00:41.212496
2024-05-02 13:05:42.794418,0.8236386180,0.9006897211,0.0425918587,0.8162645251,0.8945474774,0.0457135020,0:01:24.237737
2024-05-02 13:06:26.301162,0.8272424340,0.9029616714,0.0414648466,,,,0:00:43.492093
2024-05-02 13:07:09.180695,0.8295598626,0.9046865702,0.0407715663,,,,0:00:42.847684
2024-05-02 13:07:48.229935,0.8323862553,0.9063476324,0.0402010977,,,,0:00:39.044732
2024-05-02 13:08:27.435855,0.8350067139,0.9078814983,0.0393719859,,,,0:00:39.203223
2024-05-02 13:09:49.608408,0.8380622268,0.9098896980,0.0384007245,0.8388813585,0.9106928855,0.0395342810,0:01:22.167933
2024-05-02 13:10:29.355956,0.8403003812,0.9112483859,0.0377912410,,,,0:00:39.733496
2024-05-02 13:11:08.819086,0.8430183530,0.9130364656,0.0369925387,,,,0:00:39.458856
2024-05-02 13:11:48.019338,0.8448541164,0.9141660333,0.0366818346,,,,0:00:39.197336
2024-05-02 13:12:27.617022,0.8473598361,0.9157288074,0.0357699022,,,,0:00:39.593690
2024-05-02 13:13:52.625023,0.8490735888,0.9167901278,0.0354383588,0.8403824419,0.9118544608,0.0387239866,0:01:25.003848
2024-05-02 13:14:31.435953,0.8511033058,0.9179095626,0.0350582823,,,,0:00:38.796409
2024-05-02 13:15:10.974219,0.8520050049,0.9185629487,0.0346099511,,,,0:00:39.535461
2024-05-02 13:15:50.461627,0.8538366556,0.9196919203,0.0340557769,,,,0:00:39.483925
2024-05-02 13:16:29.626641,0.8544076681,0.9200969934,0.0338507742,,,,0:00:39.161152
2024-05-02 13:17:54.148768,0.8550610542,0.9204272032,0.0337279402,0.8475878388,0.9158546925,0.0371206040,0:01:24.518687
2024-05-02 13:18:33.680173,0.8563036919,0.9212141633,0.0334777944,,,,0:00:39.517255
2024-05-02 13:19:13.902833,0.8567163348,0.9215011001,0.0333474204,,,,0:00:40.219111
2024-05-02 13:19:53.921134,0.8571555614,0.9217098951,0.0333556980,,,,0:00:40.014561
2024-05-02 13:20:35.398307,0.8573090434,0.9218162894,0.0332167968,,,,0:00:41.474108
2024-05-02 13:21:57.003555,0.8577222824,0.9221394658,0.0330527276,0.8459878862,0.9151278138,0.0377429007,0:01:21.601471
